Object_ID, Length, Assignment
SRR7497167.884,2333,NA
SRR7497167.885,6137,NA
SRR7497167.886,4424,NA
SRR7497167.887,850,NA
SRR7497167.888,4289,NA
SRR7497167.889,3174,NA
SRR7497167.890,2482,NA
SRR7497167.891,1503,NA
SRR7497167.892,8397,NA
SRR7497167.893,3060,NA
SRR7497167.894,572,NA
SRR7497167.895,1467,NA
SRR7497167.896,8107,NA
SRR7497167.897,397,NA
SRR7497167.898,3077,NA
SRR7497167.899,789,NA
SRR7497167.900,6186,NA
SRR7497167.901,8987,NA
SRR7497167.902,895,NA
SRR7497167.903,5187,NA
SRR7497167.904,484,NA
SRR7497167.905,8413,NA
SRR7497167.906,2982,NA
SRR7497167.907,996,NA
SRR7497167.908,2375,NA
SRR7497167.909,8694,NA
SRR7497167.910,3090,NA
SRR7497167.911,9504,5833
SRR7497167.912,4235,NA
SRR7497167.913,3033,NA
SRR7497167.914,6005,NA
SRR7497167.915,3376,NA
SRR7497167.916,1424,NA
SRR7497167.917,8336,NA
SRR7497167.918,4846,NA
SRR7497167.919,1082,NA
SRR7497167.920,9445,1773
SRR7497167.921,5714,5833
SRR7497167.922,1027,NA
SRR7497167.923,1406,NA
SRR7497167.924,4684,NA
SRR7497167.925,5356,NA
SRR7497167.926,2938,NA
SRR7497167.927,1639,NA
SRR7497167.928,5551,5833
SRR7497167.929,2639,1280
SRR7497167.930,879,NA
SRR7497167.931,5735,NA
SRR7497167.932,1094,NA
SRR7497167.933,5527,NA
SRR7497167.934,1556,NA
SRR7497167.935,7603,NA
SRR7497167.936,1308,NA
SRR7497167.937,8517,NA
